기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2020	종로구	평창동	여자	9,603	232	345	364	464	616	601	530	661	651	847	913	851	723	491	409	346	269	177	79	31	8
2020	종로구	무악동	계	8,407	285	436	498	525	496	454	400	547	664	870	714	652	544	397	329	276	202	81	32	8	1
2020	종로구	무악동	남자	3,922	134	193	231	248	223	213	176	254	301	425	392	321	250	180	144	106	85	36	9	2	1
2020	종로구	무악동	여자	4,485	151	243	267	277	273	241	225	293	363	445	322	331	294	217	185	170	117	46	23	6	-
2020	종로구	교남동	계	10,250	432	453	420	437	575	706	818	914	854	985	820	723	627	455	393	307	213	85	28	7	1
2020	종로구	교남동	남자	4,774	220	233	214	198	281	321	372	429	405	466	385	355	280	206	157	127	89	31	9	-	-
2020	종로구	교남동	여자	5,476	212	220	206	240	294	385	446	485	449	519	436	368	347	249	236	180	124	54	20	7	1
2020	종로구	가회동	계	4,146	76	134	167	181	224	259	255	321	336	412	333	312	301	243	210	189	107	61	26	6	-
2020	종로구	가회동	남자	1,929	44	60	88	100	111	116	116	153	156	195	162	133	147	110	94	70	45	25	6	2	-
2020	종로구	가회동	여자	2,217	32	74	79	81	113	143	139	168	180	217	171	179	154	133	116	119	62	36	20	4	-
2020	종로구	종로1.2.3.4가동	계	6,508	93	107	96	127	336	532	447	439	379	494	529	688	696	504	381	326	199	97	31	13	1
2020	종로구	종로1.2.3.4가동	남자	3,960	50	58	54	56	137	318	258	242	229	314	386	475	470	328	244	187	102	43	6	7	1
2020	종로구	종로1.2.3.4가동	여자	2,548	43	49	42	71	199	215	189	197	150	180	143	214	226	176	137	139	97	55	26	6	1
2020	종로구	종로5·6가동	계	5,090	59	63	85	163	428	658	415	274	242	349	440	481	392	298	283	233	139	60	26	7	-
2020	종로구	종로5·6가동	남자	2,750	30	30	40	86	197	366	241	167	148	193	244	277	229	160	132	121	61	22	7	3	-
2020	종로구	종로5·6가동	여자	2,340	29	33	45	78	231	292	174	107	94	157	197	204	163	138	151	112	78	38	19	4	-
2020	종로구	이화동	계	7,410	110	145	202	240	615	1,056	759	509	406	541	528	554	482	390	279	272	192	98	27	8	1
2020	종로구	이화동	남자	3,494	51	79	92	119	262	522	358	251	208	263	255	279	224	188	125	106	71	33	11	1	-
2020	종로구	이화동	여자	3,916	59	66	110	121	353	534	401	258	199	279	273	275	258	202	154	166	121	65	17	7	1
2020	종로구	창신1동	계	4,870	67	81	103	155	268	336	266	255	252	370	489	586	552	372	274	235	142	44	24	5	-
2020	종로구	창신1동	남자	2,613	31	47	54	80	147	182	147	154	125	194	269	336	320	213	132	112	52	14	6	3	-
2020	종로구	창신1동	여자	2,257	36	35	49	76	121	154	119	101	127	176	220	250	232	159	142	123	90	31	18	2	-
2020	종로구	창신2동	계	8,175	119	140	201	340	553	635	477	410	431	703	900	898	756	528	415	353	203	83	32	4	-
2020	종로구	창신2동	남자	4,187	66	75	103	172	289	351	269	245	242	354	469	474	386	255	194	120	85	31	11	1	-
2020	종로구	창신2동	여자	3,988	54	65	98	168	264	284	209	166	190	349	431	424	371	273	221	233	119	52	21	3	-
2020	종로구	창신3동	계	6,853	203	199	252	298	457	530	484	496	414	550	634	626	571	374	278	240	146	75	25	5	1
2020	종로구	창신3동	남자	3,367	114	108	118	152	249	275	225	252	204	267	302	314	291	181	127	104	51	26	8	3	1
2020	종로구	창신3동	여자	3,486	89	91	134	146	208	255	260	244	210	284	332	312	280	193	151	136	95	49	18	2	1
2020	종로구	숭인1동	계	5,979	118	189	176	207	356	452	393	447	413	528	536	575	481	358	274	243	144	64	25	5	-
2020	종로구	숭인1동	남자	2,916	59	98	84	96	179	238	197	244	214	273	248	289	222	173	123	98	54	21	7	2	-
2020	종로구	숭인1동	여자	3,064	59	91	92	111	178	215	196	203	199	255	288	286	259	185	151	146	90	43	18	3	-
2020	종로구	숭인2동	계	9,142	146	148	139	219	701	1,248	872	634	529	678	779	816	736	510	379	316	193	77	24	3	1
2020	종로구	숭인2동	남자	4,638	67	85	66	109	273	546	466	352	290	382	424	445	399	269	197	151	85	27	8	-	-
2020	종로구	숭인2동	여자	4,505	79	63	73	110	429	702	407	282	239	296	355	372	337	241	182	165	109	50	16	3	1
2020	종로구	청운효자동	계	12,203	358	504	587	619	780	809	773	924	1,014	1,125	1,045	865	744	554	500	456	334	151	50	16	1
2020	종로구	청운효자동	남자	5,704	181	265	287	351	393	398	374	415	433	520	490	413	333	243	198	199	139	55	17	7	-
2020	종로구	청운효자동	여자	6,499	177	239	300	268	387	412	399	510	581	606	555	452	412	312	302	257	196	96	33	9	1
2020	종로구	혜화동	계	16,467	248	482	566	802	2,314	2,107	1,163	924	1,015	1,233	1,141	1,055	877	654	596	602	409	199	61	18	5
2020	종로구	혜화동	남자	7,951	117	230	298	388	985	1,213	627	468	479	599	555	505	441	295	245	251	169	70	16	6	-
2020	종로구	혜화동	여자	8,516	132	252	268	415	1,329	894	537	456	537	634	587	550	436	359	351	351	241	129	46	12	5
2020	중구	소계	계	121,520	3,483	3,611	3,093	3,869	7,605	10,768	10,031	10,051	8,465	9,184	9,864	10,108	9,512	6,872	5,475	4,501	2,904	1,429	558	124	16
2020	중구	소계	남자	59,536	1,772	1,852	1,550	1,976	3,543	5,289	4,981	5,051	4,376	4,636	5,005	5,127	4,782	3,380	2,523	1,943	1,125	439	153	32	6
2020	중구	소계	여자	61,984	1,711	1,760	1,543	1,894	4,062	5,479	5,050	5,001	4,089	4,549	4,860	4,981	4,730	3,492	2,952	2,559	1,779	990	405	92	11
2020	중구	소공동	계	1,971	64	117	53	49	76	134	197	236	249	179	161	116	133	78	49	42	26	8	6	1	1
2020	중구	소공동	남자	970	40	56	19	13	31	55	99	109	126	101	84	58	80	44	24	24	8	2	1	1	-
2020	중구	소공동	여자	1,001	24	61	34	37	45	80	99	127	123	78	77	59	54	34	26	18	19	6	5	1	1
2020	중구	회현동	계	4,584	86	124	97	100	197	296	265	260	279	343	392	516	523	390	270	210	131	61	41	7	1
2020	중구	회현동	남자	2,450	49	63	47	37	91	130	127	129	148	200	229	323	321	221	142	105	57	22	10	1	-
2020	중구	회현동	여자	2,135	37	61	50	63	106	166	138	131	131	144	163	193	202	169	128	106	74	39	31	6	1
2020	중구	명동	계	2,683	32	60	55	72	124	217	190	184	176	218	219	225	267	212	155	139	76	48	16	3	-
2020	중구	명동	남자	1,138	19	35	27	25	44	113	97	86	73	94	89	99	111	90	58	47	26	7	3	1	-
2020	중구	명동	여자	1,545	13	25	28	48	81	104	94	99	103	124	130	126	157	123	97	92	50	41	13	3	-
2020	중구	필동	계	3,787	83	117	73	100	334	359	326	287	217	252	293	279	335	231	170	143	95	61	29	8	-
2020	중구	필동	남자	1,982	46	60	37	60	156	194	182	161	116	150	166	155	162	120	86	68	40	16	8	1	-
2020	중구	필동	여자	1,805	37	58	36	41	178	165	144	126	101	102	127	124	173	111	84	75	55	45	21	7	-
2020	중구	장충동	계	4,553	90	98	118	183	636	577	355	316	250	311	297	280	271	215	194	170	122	48	23	3	-
2020	중구	장충동	남자	2,314	51	50	58	91	293	362	204	152	132	169	150	138	131	106	83	77	42	20	9	-	-
2020	중구	장충동	여자	2,239	39	48	60	92	343	215	152	165	118	143	148	142	140	109	111	93	80	28	14	3	-
2020	중구	광희동	계	4,741	64	75	90	108	313	491	417	338	276	312	364	446	429	350	270	208	116	54	22	3	-
2020	중구	광희동	남자	2,498	34	38	50	55	135	236	234	187	153	176	208	253	243	173	146	105	44	22	10	1	-
2020	중구	광희동	여자	2,244	30	37	41	54	178	255	183	152	123	136	156	194	186	177	125	103	72	32	12	2	-
2020	중구	을지로동	계	1,635	26	24	18	19	61	134	165	112	84	86	135	180	188	162	101	65	47	18	13	1	-
2020	중구	을지로동	남자	1,002	14	13	8	8	24	65	93	65	47	65	103	122	133	110	62	36	24	8	6	-	-
2020	중구	을지로동	여자	634	12	11	11	11	38	69	72	47	37	21	32	58	55	52	39	30	23	10	7	1	-
2020	중구	신당5동	계	10,301	295	312	249	337	673	976	900	842	737	808	915	883	739	500	436	359	204	100	33	7	3
2020	중구	신당5동	남자	5,039	149	153	125	171	318	454	440	444	395	396	492	446	370	237	189	149	79	24	9	4	-
2020	중구	신당5동	여자	5,262	146	160	125	166	355	522	460	398	342	413	423	437	369	263	247	211	125	76	25	3	3
2020	중구	황학동	계	12,315	434	316	223	293	714	1,391	1,450	1,342	911	857	891	858	802	633	484	360	201	114	34	12	1
2020	중구	황학동	남자	5,889	215	170	102	155	293	604	691	687	459	419	453	433	398	298	233	165	73	33	9	4	-
2020	중구	황학동	여자	6,426	219	146	121	138	422	787	759	655	452	439	438	426	405	335	251	195	128	81	25	8	1
2020	중구	중림동	계	12,233	595	451	369	404	647	851	1,045	1,268	1,041	943	954	967	799	580	496	384	258	126	40	14	6
2020	중구	중림동	남자	6,093	296	244	192	208	327	401	470	657	557	475	488	506	437	288	221	172	107	36	10	4	4
2020	중구	중림동	여자	6,140	299	207	177	197	321	450	575	611	485	468	466	461	362	292	275	213	151	90	30	10	3
2020	중구	신당동	계	7,369	143	125	126	176	475	843	669	596	472	576	669	668	547	396	341	284	149	78	34	5	1
2020	중구	신당동	남자	3,679	59	53	56	106	213	411	337	315	249	317	343	358	275	200	168	118	69	23	11	1	1
2020	중구	신당동	여자	3,690	84	73	71	70	262	432	333	281	223	259	326	310	272	196	174	166	80	55	23	4	-
2020	중구	다산동	계	14,039	285	319	352	507	1,003	1,371	1,174	1,102	904	1,122	1,149	1,122	1,124	774	630	562	332	142	58	9	2
2020	중구	다산동	남자	6,840	144	168	180	287	466	687	623	554	475	554	581	516	540	349	291	243	126	44	13	3	-
2020	중구	다산동	여자	7,199	141	151	173	220	537	684	551	548	429	569	568	606	585	425	340	319	207	98	45	6	2
2020	중구	약수동	계	16,929	549	630	467	528	885	1,151	1,114	1,358	1,195	1,264	1,338	1,441	1,465	1,086	865	708	513	245	110	20	2
2020	중구	약수동	남자	7,983	263	316	232	278	439	588	532	629	607	622	615	700	651	523	392	298	198	72	27	5	1
2020	중구	약수동	여자	8,946	286	314	235	250	446	563	582	730	589	642	723	741	814	563	474	410	315	174	83	15	1
2020	중구	청구동	계	13,871	379	433	405	523	824	1,159	1,148	1,070	928	1,058	1,138	1,171	1,089	742	616	541	377	194	60	21	1
2020	중구	청구동	남자	6,580	187	220	212	259	399	579	556	542	468	491	554	558	526	354	245	205	146	64	16	6	-
2020	중구	청구동	여자	7,291	192	213	193	264	426	580	592	528	460	568	584	614	563	388	371	336	231	131	44	15	1
2020	중구	동화동	계	10,512	362	414	400	472	647	823	619	743	749	859	955	959	805	527	401	330	260	134	42	14	1
2020	중구	동화동	남자	5,081	207	216	209	227	318	413	299	337	374	411	454	467	409	269	187	134	90	48	13	3	-
2020	중구	동화동	여자	5,431	155	198	192	245	330	410	320	406	375	448	501	493	396	258	214	196	171	86	29	11	1
2020	용산구	소계	계	219,404	6,548	7,216	7,168	8,648	13,540	19,187	18,519	18,788	16,188	18,255	17,808	16,916	15,452	10,694	8,500	7,238	5,102	2,464	904	238	34
2020	용산구	소계	남자	106,237	3,393	3,725	3,611	4,453	6,361	9,328	9,239	9,405	7,951	8,971	8,800	8,404	7,545	5,085	3,809	3,056	1,950	846	229	74	6
2020	용산구	소계	여자	113,167	3,156	3,491	3,557	4,195	7,180	9,860	9,280	9,383	8,237	9,285	9,008	8,512	7,907	5,609	4,691	4,182	3,152	1,618	675	164	28
2020	용산구	후암동	계	17,070	447	559	593	722	1,051	1,537	1,387	1,407	1,228	1,454	1,389	1,350	1,196	876	681	550	384	169	71	23	2
2020	용산구	후암동	남자	8,328	230	292	320	405	526	789	726	722	594	700	671	648	572	403	308	227	133	40	17	8	1
2020	용산구	후암동	여자	8,743	217	267	273	318	525	748	661	685	635	754	719	702	624	473	373	323	252	129	54	15	1
2020	용산구	용산2가동	계	9,743	206	201	242	342	574	967	906	835	645	726	686	718	791	559	490	395	279	124	53	12	-
2020	용산구	용산2가동	남자	4,734	108	106	131	168	302	519	459	438	345	359	316	340	357	252	226	173	94	31	9	5	-
2020	용산구	용산2가동	여자	5,010	98	95	111	175	272	448	447	397	300	367	370	378	434	307	264	222	185	93	44	8	-
2020	용산구	남영동	계	7,096	98	113	101	163	360	584	553	456	442	619	733	787	728	493	363	247	156	69	28	8	2
2020	용산구	남영동	남자	4,341	46	58	60	88	159	293	279	246	287	410	517	571	509	347	224	133	78	28	8	3	2
2020	용산구	남영동	여자	2,756	52	55	42	75	202	291	274	210	155	209	216	216	220	146	139	115	78	41	20	5	-
2020	용산구	원효로2동	계	13,960	442	544	574	733	851	1,009	976	1,102	1,074	1,237	1,170	1,092	959	674	559	421	326	161	48	12	1
2020	용산구	원효로2동	남자	6,578	224	268	231	290	394	484	498	555	512	616	561	563	457	314	254	183	109	55	11	3	-
2020	용산구	원효로2동	여자	7,382	218	276	343	443	457	526	478	548	562	621	609	530	502	361	305	238	217	106	37	9	1
2020	용산구	효창동	계	9,987	402	377	340	445	652	917	893	952	721	824	810	703	601	389	329	279	212	98	36	9	2
2020	용산구	효창동	남자	4,765	202	197	172	236	302	441	438	464	354	385	368	359	282	178	134	126	84	32	13	3	-
2020	용산구	효창동	여자	5,222	200	180	169	209	351	477	455	488	367	439	442	345	319	211	195	153	129	66	24	6	2
2020	용산구	용문동	계	12,108	408	395	397	495	782	1,030	969	1,047	847	996	1,011	920	843	631	505	411	267	101	43	11	4
2020	용산구	용문동	남자	5,801	206	202	201	261	382	486	469	526	414	491	508	454	384	285	212	174	106	32	7	3	1
2020	용산구	용문동	여자	6,307	202	193	196	234	401	544	500	521	433	505	504	466	459	347	293	237	161	69	36	8	3
2020	용산구	이촌1동	계	26,951	1,171	1,622	1,524	1,388	1,500	1,440	1,545	2,114	2,263	2,585	2,325	1,902	1,616	1,055	850	823	663	398	141	28	4
2020	용산구	이촌1동	남자	12,711	620	847	754	711	747	695	694	945	1,019	1,169	1,129	901	803	511	360	338	246	171	49	8	-
2020	용산구	이촌1동	여자	14,240	552	775	770	677	753	745	852	1,169	1,244	1,416	1,196	1,001	813	545	490	486	418	227	92	20	4
2020	용산구	이촌2동	계	8,570	322	254	251	272	435	548	686	809	592	642	673	684	753	531	389	333	232	117	41	10	2
2020	용산구	이촌2동	남자	4,057	164	139	125	144	212	269	329	430	294	311	330	297	333	250	165	148	72	40	8	2	-
2020	용산구	이촌2동	여자	4,513	158	116	126	128	223	279	357	379	298	331	343	387	420	281	224	186	161	77	34	8	2
2020	용산구	이태원1동	계	6,206	125	122	122	169	340	658	567	512	405	410	457	544	514	392	280	245	185	109	41	13	1
2020	용산구	이태원1동	남자	3,026	63	61	56	90	160	362	319	258	204	191	214	262	264	175	115	107	73	40	12	5	-
2020	용산구	이태원1동	여자	3,181	62	62	66	79	180	296	248	255	202	220	243	282	250	218	165	139	112	69	29	9	1
2020	용산구	이태원2동	계	8,615	211	232	214	278	494	865	824	802	616	670	572	601	626	436	385	379	246	110	43	15	2
2020	용산구	이태원2동	남자	4,029	118	110	92	147	250	436	409	406	287	326	261	272	267	189	161	160	84	45	10	4	-
2020	용산구	이태원2동	여자	4,586	93	122	122	131	244	429	415	396	329	344	312	329	359	248	224	219	163	65	33	11	2
2020	용산구	서빙고동	계	12,878	301	503	640	863	919	861	696	806	1,015	1,416	1,186	948	794	526	387	367	385	193	60	15	2
2020	용산구	서빙고동	남자	6,210	151	259	323	440	462	428	337	391	461	690	596	474	408	253	170	133	137	77	16	9	1
2020	용산구	서빙고동	여자	6,668	150	244	317	424	457	433	359	415	554	727	591	474	386	273	217	234	248	117	44	7	2
2020	용산구	보광동	계	13,591	226	251	325	487	843	1,358	1,045	1,054	886	1,129	1,179	1,186	1,105	754	679	512	336	176	46	15	3
2020	용산구	보광동	남자	6,761	124	138	179	273	466	760	581	569	453	556	585	569	496	331	288	207	122	53	12	3	-
2020	용산구	보광동	여자	6,830	103	113	146	214	378	598	464	486	433	574	594	617	609	423	391	305	214	123	35	13	3
2020	용산구	청파동	계	19,203	321	388	485	738	1,791	2,327	1,711	1,353	1,216	1,502	1,535	1,478	1,322	910	737	710	436	175	55	20	-
2020	용산구	청파동	남자	9,061	161	187	265	394	615	1,067	923	732	595	764	766	727	632	401	306	285	172	58	10	6	-
2020	용산구	청파동	여자	10,142	160	201	220	344	1,176	1,260	788	621	621	738	769	751	690	510	431	425	264	117	45	14	-
2020	용산구	원효로1동	계	15,617	707	639	425	440	887	1,540	1,847	1,788	1,365	1,200	1,051	1,047	879	619	441	356	227	106	41	16	2
2020	용산구	원효로1동	남자	7,512	363	324	218	224	381	645	884	909	683	634	518	512	430	286	219	134	100	41	9	2	-
2020	용산구	원효로1동	여자	8,106	345	315	207	216	507	895	963	879	682	566	534	535	450	333	222	222	127	65	32	14	2
2020	용산구	한강로동	계	18,242	572	449	422	507	1,083	1,825	2,034	1,722	1,310	1,267	1,538	1,508	1,326	867	648	532	355	183	78	18	5
2020	용산구	한강로동	남자	8,821	297	235	222	274	492	825	967	808	656	611	735	767	675	450	318	238	161	60	24	8	2
2020	용산구	한강로동	여자	9,422	275	214	200	233	592	1,000	1,067	914	654	656	803	741	651	417	330	295	195	123	54	10	3
2020	용산구	한남동	계	19,571	593	571	518	611	982	1,726	1,886	2,033	1,568	1,584	1,496	1,454	1,403	985	783	680	417	180	84	18	5
2020	용산구	한남동	남자	9,506	320	306	266	313	515	832	932	1,009	796	761	729	692	679	464	351	293	182	46	18	6	-
2020	용산구	한남동	여자	10,065	273	266	252	298	467	894	954	1,025	772	823	767	762	725	521	432	387	235	135	66	12	5
2020	성동구	소계	계	291,841	10,620	10,585	9,310	11,203	19,866	25,368	23,851	25,563	21,810	23,378	23,434	23,143	20,782	14,025	11,034	8,845	5,547	2,455	821	178	28
2020	성동구	소계	남자	142,673	5,462	5,382	4,735	5,521	9,628	12,760	11,445	12,877	11,092	11,583	11,614	11,589	10,243	6,673	4,992	3,866	2,155	799	207	48	7
2020	성동구	소계	여자	149,168	5,158	5,203	4,575	5,682	10,238	12,608	12,406	12,686	10,719	11,795	11,820	11,554	10,539	7,352	6,043	4,979	3,392	1,657	614	131	21
2020	성동구	왕십리2동	계	16,847	639	601	549	700	1,043	1,461	1,467	1,491	1,245	1,397	1,338	1,336	1,172	821	633	478	285	139	43	12	2
2020	성동구	왕십리2동	남자	8,186	338	305	287	347	487	712	701	780	636	684	644	651	588	372	277	205	112	50	12	3	-
2020	성동구	왕십리2동	여자	8,661	301	296	262	353	556	750	766	711	609	714	695	685	585	449	356	274	173	89	31	9	2
2020	성동구	마장동	계	22,737	607	657	741	970	1,964	2,434	1,734	1,553	1,334	1,713	1,834	1,890	1,667	1,200	955	736	459	212	66	13	3
2020	성동구	마장동	남자	11,199	317	329	376	493	907	1,268	885	814	675	854	880	953	811	586	450	322	185	79	17	3	-
2020	성동구	마장동	여자	11,538	291	328	366	477	1,058	1,166	849	739	660	860	954	937	856	614	505	414	274	133	49	10	3
2020	성동구	사근동	계	11,617	225	223	237	546	2,278	2,194	930	668	530	624	641	586	529	375	377	363	196	70	24	6	1
2020	성동구	사근동	남자	5,967	123	113	108	234	1,085	1,368	527	359	294	309	303	298	245	174	153	168	76	27	3	3	1
2020	성동구	사근동	여자	5,650	103	110	129	312	1,193	826	403	309	236	316	338	288	284	201	224	195	120	43	21	4	1
2020	성동구	행당1동	계	14,780	492	553	453	603	1,050	1,367	1,195	1,206	1,110	1,167	1,202	1,178	1,060	679	546	476	266	123	39	16	3
2020	성동구	행당1동	남자	7,158	251	275	225	290	516	671	588	595	560	555	567	584	536	337	235	217	106	40	10	5	1
2020	성동구	행당1동	여자	7,622	241	278	229	313	534	696	607	611	551	613	636	594	525	342	312	259	160	83	29	11	2
2020	성동구	행당2동	계	23,970	910	1,006	1,051	1,127	1,507	1,530	1,751	1,996	1,929	2,206	2,043	1,803	1,557	1,108	954	733	467	204	74	15	4
2020	성동구	행당2동	남자	11,257	450	489	498	508	697	728	813	972	917	1,083	992	899	721	498	420	305	176	74	19	3	1
2020	성동구	행당2동	여자	12,714	460	518	553	619	810	802	938	1,024	1,012	1,124	1,051	904	836	611	535	428	291	131	56	12	3
2020	성동구	응봉동	계	15,712	524	713	916	817	905	856	967	1,302	1,388	1,605	1,309	1,104	909	718	603	536	328	158	50	9	1
2020	성동구	응봉동	남자	7,468	257	374	472	372	446	434	449	640	628	806	638	536	430	299	264	230	128	52	15	3	1
2020	성동구	응봉동	여자	8,245	268	339	444	446	459	422	519	662	760	799	671	568	479	419	339	307	201	106	35	7	-
2020	성동구	금호1가동	계	15,558	689	646	500	599	869	992	1,202	1,593	1,298	1,234	1,230	1,127	1,180	810	608	468	322	151	42	4	-
2020	성동구	금호1가동	남자	7,446	368	310	259	314	440	484	515	798	678	608	600	523	517	392	270	191	122	50	11	-	-
2020	성동구	금호1가동	여자	8,112	321	336	241	285	429	508	687	795	621	626	631	604	663	418	339	277	200	101	32	4	-
2020	성동구	금호4가동	계	14,652	749	691	526	445	645	914	1,232	1,587	1,316	1,258	1,063	1,039	1,000	702	582	447	282	130	38	8	3
2020	성동구	금호4가동	남자	7,030	393	351	276	226	341	449	551	777	650	630	531	494	453	312	257	190	101	38	10	4	1
2020	성동구	금호4가동	여자	7,622	356	340	250	220	305	465	681	810	666	629	532	545	547	391	325	257	181	92	28	4	2
2020	성동구	성수1가1동	계	16,386	551	527	487	679	1,071	1,481	1,489	1,386	1,129	1,302	1,524	1,449	1,266	744	516	383	248	117	34	7	1
2020	성동구	성수1가1동	남자	8,190	306	274	251	347	568	749	719	719	551	631	753	750	646	378	237	167	97	36	14	3	-
2020	성동구	성수1가1동	여자	8,196	245	254	236	332	503	732	771	667	579	671	771	699	621	367	279	217	151	82	21	5	1
2020	성동구	성수1가2동	계	13,623	399	430	430	522	884	1,302	1,352	1,196	1,041	1,099	1,036	1,039	1,040	601	480	392	241	103	33	6	2
2020	성동구	성수1가2동	남자	6,733	207	223	216	265	443	640	654	592	523	530	563	511	529	292	238	183	87	27	10	3	1
2020	성동구	성수1가2동	여자	6,890	192	207	214	257	441	662	698	604	518	569	473	528	511	309	242	210	155	77	24	3	1
2020	성동구	성수2가1동	계	16,498	435	432	410	531	940	1,446	1,368	1,234	1,090	1,254	1,414	1,741	1,519	969	689	514	310	141	48	14	3
2020	성동구	성수2가1동	남자	8,633	227	230	215	268	500	769	738	669	595	651	764	950	828	485	332	226	128	52	6	3	1
2020	성동구	성수2가1동	여자	7,865	208	202	196	263	440	677	630	565	495	604	651	791	691	484	357	288	182	89	42	11	2
2020	성동구	성수2가3동	계	11,001	315	291	244	306	766	1,253	1,057	935	694	769	874	934	857	565	431	349	232	95	31	5	2
2020	성동구	성수2가3동	남자	5,584	164	149	123	158	353	582	553	501	374	386	456	508	466	300	205	165	95	35	13	1	1
2020	성동구	성수2가3동	여자	5,417	151	142	121	148	413	671	505	434	320	384	419	426	391	265	226	184	138	60	18	4	1
2020	성동구	송정동	계	10,632	280	282	262	361	694	994	835	820	747	823	953	1,005	933	600	421	307	195	86	32	5	-
2020	성동구	송정동	남자	5,600	146	141	143	203	326	549	462	440	428	428	530	543	503	309	201	137	79	29	8	-	-
2020	성동구	송정동	여자	5,032	134	142	120	158	368	445	374	380	320	396	424	462	431	291	220	170	117	57	24	5	-
2020	성동구	용답동	계	11,726	199	264	274	387	811	1,206	870	792	793	975	1,116	1,058	931	618	555	453	290	101	29	7	-
2020	성동구	용답동	남자	6,184	106	132	144	190	367	593	469	448	447	561	653	613	522	316	255	218	120	28	5	2	-
2020	성동구	용답동	여자	5,543	93	132	130	197	445	613	402	345	346	415	463	446	409	302	300	236	170	74	25	5	-
2020	성동구	왕십리도선동	계	26,719	1,216	1,223	743	866	1,862	2,541	2,209	2,606	1,983	2,004	2,180	2,124	1,735	1,128	840	703	473	192	78	16	3
2020	성동구	왕십리도선동	남자	12,752	605	622	392	432	855	1,191	980	1,287	1,007	974	1,000	1,054	874	551	372	311	180	51	19	2	-
2020	성동구	왕십리도선동	여자	13,967	611	602	351	434	1,008	1,350	1,229	1,319	976	1,031	1,180	1,070	862	577	468	392	293	141	59	14	3
2020	성동구	금호2.3가동	계	23,184	1,044	765	654	901	1,314	1,634	1,955	2,286	1,848	1,888	1,803	1,784	1,656	1,177	919	786	465	221	69	20	2
2020	성동구	금호2.3가동	남자	11,066	529	396	338	443	690	798	900	1,132	927	919	868	836	773	534	398	341	164	62	16	8	1
2020	성동구	금호2.3가동	여자	12,118	515	369	317	458	625	836	1,055	1,155	922	969	935	948	883	643	521	445	302	159	54	12	1
2020	성동구	옥수동	계	26,204	1,351	1,285	837	847	1,266	1,770	2,242	2,918	2,338	2,061	1,877	1,952	1,775	1,214	930	725	490	216	94	19	2
2020	성동구	옥수동	남자	12,224	679	674	416	434	612	780	946	1,357	1,206	981	876	889	806	541	431	295	202	73	24	5	1
